Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
AGER_TYP,best-ager typology,-1,unknown
ALTERSKATEGORIE_GROB,age classification through prename analysis ,"-1, 0",unknown
ALTER_HH,main age within the household,0,unknown / no main age detectable
ANREDE_KZ,gender,"-1, 0",unknown
BALLRAUM,distance to next urban centre ,-1,unknown
BIP_FLAG,business-flag indicating companies in the building,-1,unknown
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,-1,unknown
CAMEO_DEUINTL_2015,CAMEO classification 2015 - international typology,-1,unknown
CJT_GESAMTTYP,customer journey typology,0,unknown
D19_KK_KUNDENTYP,consumption movement in the last 12 months,-1,unknown
EWDICHTE,density of inhabitants per square kilometer,-1,unknown
FINANZTYP,best descirbing financial type for the person,-1,unknown
FINANZ_ANLEGER,financial typology: investor,-1,unknown
FINANZ_HAUSBAUER,financial typology: main focus is the own house,-1,unknown
FINANZ_MINIMALIST,financial typology: low financial interest,-1,unknown
FINANZ_SPARER,financial typology: money saver,-1,unknown
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,-1,unknown
FINANZ_VORSORGER,financial typology: be prepared,-1,unknown
GEBAEUDETYP,type of building (residential or commercial),"-1, 0",unknown
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,"-1, 0",unknown
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)","-1, 0",unknown
HEALTH_TYP,health typology,-1,unknown
HH_EINKOMMEN_SCORE,estimated household net income ,"-1, 0",unknown
INNENSTADT,distance to the city centre,-1,unknown
KBA05_ALTER1,share of car owners less than 31 years old,"-1, 9",unknown
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,"-1, 9",unknown
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,"-1, 9",unknown
KBA05_ALTER4,share of cars owners elder than 61 years,"-1, 9",unknown
KBA05_ANHANG,share of trailers in the microcell,"-1, 9",unknown
KBA05_ANTG1,number of 1-2 family houses in the cell,-1,unknown
KBA05_ANTG2,number of 3-5 family houses in the cell,-1,unknown
KBA05_ANTG3,number of 6-10 family houses in the cell,-1,unknown
KBA05_ANTG4,number of >10 family houses in the cell,-1,unknown
KBA05_BAUMAX,most common building-type within the cell,"-1, 0",unknown
KBA05_CCM1,share of cars with less than 1399ccm,"-1, 9",unknown
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,"-1, 9",unknown
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,"-1, 9",unknown
KBA05_CCM4,share of cars with more than 2499ccm,"-1, 9",unknown
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,"-1, 9",unknown
KBA05_FRAU,share of female car owners,"-1, 9",unknown
KBA05_GBZ,number of buildings in the microcell,"-1, 0",unknown
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ","-1, 9",unknown
KBA05_HERST2,share of Volkswagen-Cars (including Audi),"-1, 9",unknown
KBA05_HERST3,share of Ford/Opel,"-1, 9",unknown
KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)","-1, 9",unknown
KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)","-1, 9",unknown
KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,"-1, 9",unknown
KBA05_KRSAQUOT,share of cars per household (reffered to county average),"-1, 9",unknown
KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),"-1, 9",unknown
KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),"-1, 9",unknown
KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),"-1, 9",unknown
